Last Name,First Name,Real Last,Real First,Alternate Names?,Nationality,Jewish?,Gender,Links for Further Info,Known for,Fields,Import (1=lowest 5=highest),Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Studied With,Studied With/At,Studied With,Studied With,Studied With,Studied With,Studied With,Studied With,Studied At,Type,Language,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Third Location,Third Latitude,Third Longitude,Fourth Location,Fourth Latitude,Fourth Longitude,Fifth Location,Fifth Latitude,Fifth Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role
Aronson,Boris,,Baruch,,American,y,m,https://en.wikipedia.org/wiki/Boris_Aronson,American set designer,"Theater, Set Design, Costume Design",5,,,,,,,,,,,,,,,,,Aleksandra Ekster,Vsevolod Meyerhold,Alexander Tairov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARTEF,Designer,Yiddish,New York,40.754274,-73.984866,,,,Yiddish Art Theater,Designer,Yiddish,New York,40.730929,-73.986157,Unzer Teater,Designer,Yiddish,"Bronx, New York",40.844782,-73.864827,Group Theater,Designer,English,New York,40.759288,73.989019,,,,,,,,,,,,,,,,,,,Maurice Schwartz,Designer,Luba Kadison,Designer,Joseph Buloff,Designer,Avrom Taytlboym,Designer,Baruch Lumet,Designer,Stella Adler,Designer,Bertha Gersten,Designer,Yankev Mestel,Designer,Celia Adler,Designer,Paul Baratoff,Designer,Harold Clurman,Designer,Clifford Odets,Designer,Elia Kazan,Designer,Jacob Bergrin,Designer,Wolf Barzel,Designer,Lee Strasberg,Designer,Chaim Shniur,Designer,Bela Belarina,Designer,Yankev Blayfer,Designer,Mendl Elkin,Designer,Joseph Green,Designer,Egon Brecher,Designer,Peretz Hirschbein,Designer,Dovid Pinski,Designer,H. Leivick,Designer,Rudolph Schildkraut,Designer,Yankev Mestel,Designer,Frida Vitalin,Designer,Mordechai Yachson,Designer,Ming Cho Lee,"Teacher, Designer",Harold Prince,Designer,Jerome Robbins,Designer,Manny Azenberg,Designer,Joel Grey,Designer,Fyvush Finkel,Designer,Zero Mostel,Designer,Elia Kazan,Designer,Lee Strasberg,Designer,John Garfield,Designer,Morris Carnosvky,Designer,Luther Adler,Designer,Sanford Meisner,Designer,Louis Weisberg,Designer,Alex Chertov,Designer,David Vardi,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artsishevska,Tea,Isroels,Ester,Theo Artsishevska,Polish,y,f,http://yleksikon.blogspot.com/2014/09/totshe-artsishevska-tea-arciszewska.html,Polish Actress,"Theater, Acting",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azazel,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henekh Kon,Performed with,Moyshe Broderzon,Performed with,Władysław Godik,Performed with,Ola Lilith,Performed with,Dovid Herman,Performed with,Moyshe Potashinski,Performed with,Yankev Mansdorf,Performed with,Nokhum Melnik,Performed with,Hersh Poznanski,Performed with,Falie Goldhirsh,Performed with,Władysław Weintraub,Performed with,Miriam Lipska-Mansdorf,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asch,Sholem,,,,EE Jewish,y,m,http://www.yivoencyclopedia.org/article.aspx/Asch_Sholem,Yiddish writer,"Literature, Playwriting",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astaire,Fred,,,,American,n,m,https://en.wikipedia.org/wiki/Fred_Astaire,American theater and film actor and dancer,"Theater, Film, Dance",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Buloff,Performed with,Cyd Charisse,Performed with,Leonid Sniegov,Performed with,Ginger Rogers,Performed with,George Gershwin,"Performed with, Choreographer",Ira Gershwin,"Performed with, Choreographer",Bing Crosby,Performed with,Rita Hayworth,Performed with,Gene Kelly,Performed with,Judy Garland,Performed with,Audrey Hepburn,Performed with,Helen Hayes,Performed with,Lucille Ball,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auerbach,Boris,,Ben-Tsiyon,,"EE Jewish, American",y,m,http://www.museumoffamilyhistory.com/yt/lex/A/auerbach-boris.htm,Yiddish actor,"Acting, Theater",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second Avenue Theater,Actor,Yiddish,New York,40.718289,-73.991127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shloyme Krause,Performed with,Chaim Shniur,Director,Zina Rapel,Performed with,Joseph Edelstein,Performed with,Stella Adler,Performed with,Yankev Mestel,Performed with,Joseph Green,Performed with,Louis Weisberg,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autant,Edouard,,,,French,n,m,https://fr.wikipedia.org/wiki/Édouard_Autant,French architect and theater designer,"Architecture, Set Design",3,Louise Lara,Husband,Claude Autant-Lara,Father,,,,,,,,,,,,,,,,,,,,,École des Beaux-Arts,Art school,French,Paris,48.856601,2.33459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Szymon Syrkus,Colleague,Louise Lara,Colleague,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axentowicz,Teodor,,,,Polish,n,m,https://en.wikipedia.org/wiki/Teodor_Axentowicz,Polish painter,Art,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kraków Academy of Fine Arts,Teacher,Polish,Kraków,50.066259,19.941582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maks Haneman,Teacher,Stanisław Wyspiański,Colleague,Stanisław Wyspiański,Colleague,Leon Wyczółkowski,Colleague,Józef Mehoffer,Colleague,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azenberg,Manny,,Emanuel,,American,y,m,https://en.wikipedia.org/wiki/Emanuel_Azenberg,American theater producer,"Theater, Producing",5,Wolf Barzel,Nephew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neil Simon,Producer,Robert Redford,Producer,Jerome Robbins,Producer,Matthew Broderick,Producer,Laurice Metcalf,Producer,Patrick Stewart,Producer,Nathan Lane,Producer,Baz Luhrmann,Producer,Twyla Tharp,Producer,Tony Danza,Producer,Michael Greif,Producer,Idina Menzel,Producer,Anthony Rapp,Producer,Bernadette Peters,Producer,Kevin Spacey,Producer,Gene Saks,Producer,Jack Lemmon,Producer,Rita Moreno,Producer,Whoopi Goldberg,Producer,Mandy Patinkin,Producer,Glenn Close,Producer,Cynthia Nixon,Producer,Anne Bancroft,Producer,Bob Dishy,Producer,Mike Nichols,Producer,John Lithgow,Producer,Mary Tyler Moore,Producer,Yul Brynner,Producer,Joel Grey,Producer,Boris Aronson,Producer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball,Lucille,,,,American,n,f,https://en.wikipedia.org/wiki/Lucille_Ball,American film and television actor and executive,"Film, TV, Acting",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Azro,Performed with,Groucho Marx,Performed with,Harpo Marx,Performed with,Chico Marx,Performed with,Fred Astaire,Performed with,Ginger Rogers,Performed with,Katherine Hepburn,Performed with,John Wayne,Performed with,William A. Seiter,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banner,John,,,,Austrian,y,m,https://en.wikipedia.org/wiki/John_Banner,"American theater, television, and film actor","Theater, Film, TV, Acting",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Buloff,Performed with,Delmer Daves,Performed with,Baruch Lumet,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
