Last Name,First Name,Real Last,Real First,Alternate Names?,Nationality,Jewish?,Gender,Links for Further Info,Known for,Fields,Import (1=lowest 5=highest),Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Studied With,Studied With/At,Studied With,Studied With,Studied With,Studied With,Studied With,Studied With,Studied At,Type,Language,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Third Location,Third Latitude,Third Longitude,Fourth Location,Fourth Latitude,Fourth Longitude,Fifth Location,Fifth Latitude,Fifth Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role
Darin,Bobby,,,,American,n,m,https://en.wikipedia.org/wiki/Bobby_Darin,"American singer, songwriter, film actor, television actor","Music, Acting, Film, TV",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yankev Blayfer,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daves,Delmer,,,,American,n,m,https://en.wikipedia.org/wiki/Delmer_Daves,"American screenwriter, director, and producer","Film, Directing, Producing, Screenwriting",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Buloff,Director,John Banner,Director,Maria Ouspenskaya,Director,Cary Grant,Performed with,Anne Bancroft,Director,Rod Steiger,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,Doris,,,,American,n,f,https://en.wikipedia.org/wiki/Doris_Day,"American actor, singer","Film, Acting, Music",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leola Vendorf,Performed with,Alfred Hitchcock,Performed with,Norman Jewison,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Mille,Agnes,,,,American,n,f,https://en.wikipedia.org/wiki/Agnes_de_Mille,American dancer and choreographer,"Dance, Theater, Film",4,Cecil DeMille,Niece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Buloff,Choreographer,Howard Da Silva,Choreographer,Cecil DeMille,Choreographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dębicki,Stanisław,,,,Polish,n,m,https://en.wikipedia.org/wiki/Stanisław_Dębicki,Polish painter and illustrator,Art,3,,,,,,,,,,,,,,,,,Christian Griepenkerl,Władysław Łuszczkiewicz,,,,,,,Imperial Academy of Music and the Performing Arts,"Music school, Theater school",German,Vienna,48.189588,16.312573,Kraków Academy of Fine Arts,Art school,Polish,Kraków,50.066259,19.941582,,,,,,,Kraków Academy of Fine Arts,Teacher,Polish,Kraków,50.066259,19.941582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrzej Pronaszko,Teacher,Szymon Syrkus,Teacher,Stanisław Wyspiański,Colleague,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dee,Sandra,Zuck,Alexandra,,American,n,f,https://en.wikipedia.org/wiki/Sandra_Dee,American actor,"Film, Acting",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yankev Blayfer,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deutsch,Ernst,,,Ernest Dorian,Austrian,n,m,https://en.wikipedia.org/wiki/Ernst_Deutsch,Austrain film actor,"Film, Acting",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Green,Performed with,Chaim Shniur,Performed with,Yankev Mestel,Performed with,Henrik Galeen,Performed with,Avrom Morevsky,Performed with,Ewald André Dupont,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimov,Osip,,,,EE Jewish,y,m,http://www.yivoencyclopedia.org/article.aspx/Dymov_Osip,"Yiddish writer, Yiddish playwright, Yiddish film director","Literature, Playwriting, Film, Directing",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bertha Gersten,Screenwriter,Reuven Vendorf,Director/Screenwriter,Pola Valter,Screenwriter,Moyshe Feder,Screenwriter,Yankev Mestel,Screenwriter,Paul Baratoff,Director,Edgar G. Ulmer,Director,Leah Naomi,Director,Jacob Ben-Ami,Director,Boris Thomashefsky,Director,Benjamin Fishbein,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,Kirk,,,,American,y,m,https://en.wikipedia.org/wiki/Kirk_Douglas,American film and theater actor and producer,"Film, Theater, Producing, Acting",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yankev Blayfer,Performed with,Walter Matthau,Performed with,Martin Ritt,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dupont,Ewald André,,,E.A. Dupont,German,n,m,https://en.wikipedia.org/wiki/E._A._Dupont,"German, American, and British film director and screenwriter","Film, Directing, Screenwriting",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avrom Morevsky,Director,Ernst Deutsch,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dzigan,Shimon,,,,"EE Jewish, Israeli",y,m,http://www.yivoencyclopedia.org/article.aspx/Dzigan_and_Shumacher,Yiddish actor,"Theater, Acting",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Di yidishe bande,Actor,Yiddish,Kalisz,51.767281,18.085346,Vilna,54.687156,25.279651,Paris,48.856614,2.352222,Buenos Aires,-34.603723,-58.381593,Sao Paolo,-23.550521,-46.633309,Ararat,Actor,Yiddish,Lodz,51.759248,19.455983,,,,Dovid Herman Theater,Actor,Yiddish,Melbourne,-37.814107,144.963281,Melokhishe Yidishe Miniatur-Teater,Founder,Yiddish,Bialystok,53.132489,23.16884,,,,,,,,,,,,,,,,,,,,,,,,,Moyshe Broderzon,Performed with,Yisroel Shumacher,Performed with,Dovid Herman,Performed with,Henekh Kon,Performed with,Judith Berg,Performed with,Avrom Morevsky,Performed with,Dina Halpern,Performed with,Rokhl Holtzer,Performed with,Khavel Buzgan,Performed with,Ruth Turkow,Performed with,Klara Segalovitch,Performed with,Isaac Samberg,Performed with,Gershon Lemberger,Performed with,Fela Garbarz,Performed with,Simkhe Natan,Performed with,Zygmunt Turkow,Performed with,Adam Domb,Performed with,Alter Kacyzne,Performed with,Ida Kaminska,Performed with,Yankev Reynglas,Performed with,Yosef Kamen,Performed with,Nadia Kareni,Performed with,Yisroel Shumacher,Performed with,Jacob Rotbaum,Performed with,Rokhl Holtzer,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekster,Aleksandra,,,,"Russian, French",n,f,https://en.wikipedia.org/wiki/Aleksandra_Ekster,Russian/French painter and theater designer,"Art, Theater, Set Design, Costume Design",3,,,,,,,,,,,,,,,,,Pablo Picasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boris Aronson,Teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feder,Sami,,,,EE Jewish,y,m,https://de.wikipedia.org/wiki/Sami_Feder,Yiddish director and playwright,"Theater, Directing, Playwriting, Literature",1,,,,,,,,,,,,,,,,,Erwin Piscator,Alexander Granovsky,,,,,,,,,,,,,,,,,,,,,,,,,Orpheus Yiddish Laborers Theater,Founder/Director,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Rotbaum,Director,Dovid Likht,Director,Erwin Piscator,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibich,Felix,Goldblat,Fajwel,,EE Jewish,y,m,http://archives.nypl.org/dan/18711,Yiddish theater choreographer,"Theater, Dance",3,Judith Berg,Husband,,,,,,,,,,,,,,,Doris Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,Yung Teater,Choreographer,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marina Abramovic,Choreographer,Mikhl Vaykhert,Choreographer,Judith Berg,Choreographer,Andrzej Pronaszko,Choreographer,Szymon Syrkus,Choreographer,Joseph Papp,Choreographer,Mina Bern,Choreographer,Miriam Kressyn,Choreographer,Seymour Rexsite,Choreographer,Lili Liliana,Choreographer,Dovid Likht,Choreographer,Meir Melman,Performed with,Jacob Rotbaum,Performed with,Ida Kaminska,Performed with,Moyshe Lipman,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finkel,Fyvush,,,,American,y,m,https://en.wikipedia.org/wiki/Fyvush_Finkel,"Yiddish theater actor, American television and theater actor","Theater, TV, Acting",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Buloff,Performed with,Leo Fuchs,Performed with,Seymour Rexite,Performed with,Menasha Skulnik,Performed with,Zero Mostel,Performed with,Jerome Robbins,Performed with,Sidney Lumet,Performed with,Boris Aronson,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishzon,Misha,,,,"EE Jewish, American",y,m,https://books.google.com/books?id=JKkbAQAAIAAJ&q=misha+fishzon&dq=misha+fishzon&hl=en&sa=X&ei=AceRVeqLLs6AygTfvbXABw&ved=0CCYQ6AEwAQ,Yiddish actor and director,"Theater, Acting, Directing",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yiddish Art Theater,Actor,Yiddish,New York,40.730929,-73.986157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maurice Schwartz,Performed with,Leib Kadison,Performed with,Luba Kadison,Performed with,Bertha Gersten,Performed with,Leyzer Zhelazo,Performed with,Roza Birnboym,Performed with,Shmuel Iris,Performed with,Naomi Natan,Performed with,Simkhe Natan,Performed with,Yitzkhok Blifeld,Director,Betty Dalska,Performed with,Wolf Zilberberg,Performed with,Leola Vendorf,Performed with,Shloyme Kon,Performed with,Matisyahu Kovalski,Director,Dovid Likht,Performed with,Ester Neroslavska,Director,Isaac Schlossberg,Director,A. Sandu,Director,Isaac Schlossberg,Performed with,Mark Arnshteyn,Performed with,Ester Neroslavska,Performed with,Ester-Rokhl Kaminska,Performed with,A.Y. Kaminski,Performed with,Rose Shoshana,Performed with,Fraym Sorkin,Director,Charlotte Goldstein Chafran,Performed with,Mordechai Yachson,Performed with,Shloyme Krause,Director,Louis Weisberg,Performed with,Ben Tsion Shoenfeld,Performed with,Alex Chertov,Performed with,Moyshe Schneidow,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fontanne,Lynn,,,,"British, American",n,f,https://en.wikipedia.org/wiki/Lynn_Fontanne,American theater and film actor,"Theater, Film, Acting",2,Alfred Lunt,Wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theatre Guild,Actor,English,New York,40.718289,-73.991127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Ben-Ami,Performed with,Harold Clurman,Performed with,Alfred Lunt,Performed with,Edward G. Robinson,Performed with,Uta Hagen,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford,Harrison,,,,American,y,m,https://en.wikipedia.org/wiki/Harrison_Ford,American film actor,"Film, Acting",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yankev Blayfer,Performed with,Gene Wilder,Performed with,Leo Fuchs,Performed with,Steven Spielberg,Performed with,George Lucas,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freeman,Morgan,,,,American,n,m,https://en.wikipedia.org/wiki/Morgan_Freeman,American film actor and director,"Film, Acting, Directing",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baruch Lumet,Performed with,Sidney Lumet,Performed with,Judy Graubart,Performed with,Jack Nicholson,Performed with,Jim Carrey,Performed with,Christian Bale,Performed with,Maggie Gyllenhaal,Performed with,Christopher Nolan,Performed with,Michael Caine,Performed with,Steve Carell,Performed with,Jennifer Aniston,Performed with,Renee Zellweger,Performed with,Kevin Costner,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frycz,Karol,,,,Polish,n,m,https://pl.wikipedia.org/wiki/Karol_Frycz,"Polish painter, set designer, and theater director","Art, Set Design, Theater, Directing",4,,,,,,,,,,,,,,,,,Stanislaw Wyspianski,Józef Mehoffer,Leon Wyczolkowski,,,,,,,,,,,,,,,,,,,,,,,,Zielony Balonik,Designer,Polish,Krakow,50.064651,19.944981,,,,,,,,,,,,,Kraków Academy of Fine Arts,Teacher,Polish,Kraków,50.066259,19.941582,,,,Teatr Polski,Designer,Polish,Warsaw,52.239448,21.015034,VNIT,Designer,Yiddish,Warsaw,52.229676,21.012229,Słowacki Theatre,Director,Polish,Kraków,50.066259,19.941582,,,,,,,,,,,,,,,,,,,Leon Schiller,Designer,Arnold Szyfman,Designer,Andrzej Pronaszko,Designer,Tadeusz Kantor,Teacher,Yonas Turkow,Designer,Zygmunt Turkow,Designer,Tadeusz Boy-Żeleński,"Writer, Co-Founder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuchs,Leo,,Avrom Leib,,"EE Jewish, American",y,m,https://en.wikipedia.org/wiki/Leo_Fuchs,Yiddish theater and film actor and dancer,"Theater, Acting, Film, Dance",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leon Liebgold,Performed with,Lili Liliana,Performed with,Seymour Rexite,Performed with,Moyshe Feder,Performed with,Menasha Skulnik,Performed with,Joseph Buloff,Performed with,Fyvush Finkel,Performed with,Yankev Blayfer,Performed with,Gene Wilder,Performed with,Harrison Ford,Performed with,Mordechai Yachson,Performed with,Leon Liebgold,Performed with,Seymour Rexite,Performed with,Ester Neroslavska,Performed with,Lotte Lenya,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furie,Sidney J.,,,,Canadian,y,m,https://en.wikipedia.org/wiki/Sidney_J._Furie,Canadian film director,"Film, Directing",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yankev Reynglas,Director,Marlon Brando,Director,Robert Redford,Director,Frank Sinatra,Director,Diana Ross,Director,Gene Hackman,Director,Laurence Olivier,Director,Michael Caine,Director,Peter O'Toole,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gable,Clark,,,,American,n,m,https://en.wikipedia.org/wiki/Clark_Gable,American film actor,"Film, Acting",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Azro,Performed with,Hedy Lamarr,Performed with,Yankev Blayfer,Performed with,Marilyn Monroe,Performed with,Ingrid Bergman,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeen,Henrik,,,"Henry Galen, Henryk Galeen",German,n,m,https://en.wikipedia.org/wiki/Henrik_Galeen,German film director and actor,"Film, Directing, Acting",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second Avenue Theater,Actor,Yiddish,New York,40.730953,-73.985976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Władysław Godik,Performed with,Ruth Taru,Performed with,Boris Thomashefsky,Performed with,Ludwig Satz,Perfomed with,F.W. Murnau,Screenwriter,Ernst Deutsch,Performed with,Paul Wegener,Screenwriter,Joseph Green,Performed with,Chaim Shniur,Performed with,Yankev Mestel,Performed with,Jacob Ben-Ami,Mentor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamerov,Ester,,,Ester Fogel,EE Jewish,y,f,http://www.museumoffamilyhistory.com/yt/lex/G/gamerov-esther.htm,Yiddish actor,"Acting, Theater",1,Chaim Shniur,Sister,Bela Belarina,Sister-in-law,Rivke Kasman,Sister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dovid Likht,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garfield,John,Garfinkle,Jacob Julius,Jules Garfield,American,y,m,https://en.wikipedia.org/wiki/John_Garfield,American actor,"Theater, Acting",4,,,,,,,,,,,,,,,,,Richard Boleslavsky,Maria Ouspenskaya,,,,,,,American Laboratory Theatre,Theater School,English,New York,40.763609,-73.981435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolf Barzel,Performed with/Director,Harold Clurman,Performed with,Cheryl Crawford,Performed with,Lee Strasberg,Performed with,Stella Adler,Performed with,Boris Aronson,Performed with,Eva Le Gallienne,Performed with,Lee J. Cobb,Performed with,Martin Ritt,Performed with,Luther Adler,Performed with,J. Edward Bromberg,Performed with,Morris Carnovsky,Performed with,Howard Da Silva,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German,Lucy,,,Lucy Gehrman,American,y,f,http://www.museumoffamilyhistory.com/yt/lex/G/german-lucy.htm,Yiddish theater and film actor,"Theater, Acting, Film",2,Misha German,Wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jewish Art Theater,Actor,Yiddish,New York,40.759288,73.989019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Green,Performed with,Yitzkhok Grudberg,Performed with,Misha German,Performed with,Bertha Gersten,Performed with,Avrom Taytlboym,Performed with,Jacob Ben-Ami,Performed with,Mordechai Yachson,Performed with,Leib Kadison,Performed with,Luba Kadison,Performed with,Alex Stein,Performed with,Shloyme Krause,Performed with,Louis Weisberg,Performed with,Ben Tsion Shoenfeld,Performed with,Alex Chertov,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German,Misha,,,Misha Gehrman,American,y,m,http://www.museumoffamilyhistory.com/yt/lex/G/german-misha.htm,Yiddish theater and film actor,"Theater, Film, Acting",2,Lucy German,Husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jewish Art Theater,Actor,Yiddish,New York,40.759288,73.989019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Green,Performed with,Yitzkhok Grudberg,Performed with,Bertha Gersten,Performed with,Lucy German,Performed with,Avrom Taytlboym,Performed with,Jacob Ben-Ami,Performed with,Mordechai Yachson,Performed with,Leib Kadison,Performed with,Luba Kadison,Performed with,Alex Stein,Performed with,Shloyme Krause,Performed with,Louis Weisberg,Performed with,Ben Tsion Shoenfeld,Performed with,Alex Chertov,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
