Last Name,First Name,Full Name,Gender,Real Last,Real First,Alternate Names?,Branch,Branch1,Branch2,Branch3,Branch4,Branch5,Branch6,Branch7,Approx Dates in VT,VT Locations,Type of VT Connection,Connection Type Code,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Studied With,Studied With,Studied With,Studied With,Studied With,Studied With,Studied With,Studied At,Type,Language,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Third Location,Third Latitude,Third Longitude,Fourth Location,Fourth Latitude,Fourth Longitude,Fifth Location,Fifth Latitude,Fifth Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role
Ben-Ami,Jacob,Jacob Ben-Ami,m,Shimshirin,,,Bronx,,,,,,,,1928,New York,Director,"Dir, A",Bertha Gersten,Romantically involved,Slava Estrin,Husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hirschbein Troupe,Actor,Yiddish,Odessa,46.482526,30.72331,Warsaw,52.229676,21.012229,,,,,,,,,,Theatre Guild,"Actor,Director",English,New York ,40.732511,-73.998692,,,,Yiddish Art Theater,Actor,Yiddish,New York,40.730929,-73.986157,Jewish Art Theater,"Founder, Performed with",Yiddish,New York,40.718289,-73.991127,Neighborhood Playhouse,Actor,English,New York,40.71534,-73.983561,Folksbiene,"Actor,Director",Yiddish,New York,40.718289,-73.991127,Sam Adler Troupe,Actor,Yiddish,Mogilev,53.900001,30.333333,Irving Place Art Theater,Director,Yiddish,New York ,40.718289,-73.991127,Krolevska Theater,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,Egon Brecher,Performed with,Tyrone Guthrie,Performed with,David Vardi,Performed with,Stella Adler,Performed with,Peretz Hirschbein,Performed with,Leah Naomi,"Director, Performed with",Edgar G. Ulmer,Co-director,Helen Beverly,Director,Yankev Mestel,Performed with,Avrom Taytlboym,Performed with,Reuven Vendorf,Performed with,Edward G. Robinson,"Performed with, Director",Eva Le Gallienne,Performed with,Howard Da Silva,Performed with,J. Edward Bromberg,Performed with,Lee J. Cobb,Director,Gene Saks,Performed with,Luther Adler,Performed with,Guthrie McClintic,Performed with,Edward G. Robinson,Performed with,Arthur Hopkins,Performed with,Morris Carnovsky,Performed with,Eugene O'Neill,Performed with,Harold Clurman,Director,Lynn Fontanne,Director,Alfred Lunt,Director,Maurice Schwartz,Director,Sidney Lumet,Performed with,Luba Kadison,Performed with,Bertha Gersten,Performed with,Paul Baratoff,Performed with,Julius Adler,Performed with,Zvi Scooler,Performed with,Noah Nachbush,Performed with,Boris Thomashefsky,Performed with,Keni Liptzin,Performed with,Emanuel Reicher,Co-founder,Sam Leve,Performed with,Betty Dalska,Performed with,Celia Adler,Performed with,Lucy German,Performed with,Misha German,Performed with,David Vardi,Performed with,Dovid Likht,Performed with,Leonid Sniegov,Director,Lidia Pototska,Director,Mendl Elkin,Performed with,Leola Vendorf,Performed with,Molly Pickus,Performed with,Fela Biro,Performed with,Ester Neroslavska,Performed with,Chaim Shniur,Performed with,Helen Zelinskaya,Director,Frida Vitalin,Director,Leyzer Zhelazo,Performed with
Ben-Levi,Samuel,Samuel Ben-Levi,m,,Shmuel,,AA,AA,,,,,,,1921-1922,WE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergman,Yoyel,Yoyel Bergman,m,,,"Joel Bergman, Joel Berg",MVT,MVT,,,,,,,1929-1932,EE,Actor,A,Khayele Shiper,Wife,,,,,,,,,,,,,,,,,,,Chaim Shniur,,,,,,,,,,,,,,,,,,,,,,,,,Balaganeydn,"Founder, Actor",Yiddish,Vilna,54.687156,25.279651,Grodno,53.666667,23.833333,Bialystok,53.132489,23.16884,Lviv,49.839683,24.029717,Gdańsk,54.352025,18.646638,Polish State Yiddish Theater,Actor,Yiddish,Warsaw,52.229676,21.012229,Lodz,51.759248,19.455983,Ararat,Actor,Yiddish,Lodz,51.759248,19.455983,Melokhishe Yidishe Miniatur Teater,Actor,Yiddish,Bialystok,53.132489,23.16884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ida Kaminska,Performed with,Israel Kamay,Performed with,Ruth Turkow,Performed with,Adam Domb,Performed with,Sonia Altboym,Performed with,Meir Melman,Performed with,Moyshe Broderzon,Performed with,Yankev Reynglas,"Co-Founder, Performed with",Dovid Birnboym,"Co-Founder, Performed with",Ida Garber,Performed with,Chaim Shniur,Performed with,Mikhl Vaykhert,Performed with,Mark Arnshteyn,Performed with,Avrom Morevsky,Performed with,Miriam Kressyn,Performed with,Khayele Shiper,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergrin,Jacob,Jacob Bergrin,m,,,Jacob Bergreen,"AA, AmRev, Bronx",AA,AmRev,Bronx,,,,,"1924, 1926-1927, 1928-1930",US,Actor,A,,,,,,,,,,,,,,,,,,,,,Mendl Elkin,Richard Boleslavsky,,,,,,Unzer teater studio,Theater school,Yiddish,"Bronx, New York",40.837049,-73.86543,,,,,,,,,,,,,"Yiddish Theater Unit, Federal Theater Project",Actor,Yiddish,New York ,40.759288,73.989019,,,,,,,,,,,,,Unzer teater,Actor,Yiddish,"Bronx, New York",40.844782,-73.864827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egon Brecher,Performed with,Chaim Shniur,Performed with,Bela Belarina,Performed with,Mendl Elkin,Performed with,Joseph Green,Performed with,Yankev Blayfer,Performed with,Dovid Pinski,Performed with,Peretz Hirschbein,Performed with,H. Leivick,Performed with,Boris Aronson,Performed with,David Vardi,Performed with,Dina Halpern,Performed with,Wolf Barzel,Performed with,Rudolph Schildkraut,Performed with,David Belasco,Performed with,Frida Vitalin,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkovitsh,Avrom,Avrom Berkovitsh,m,,,"A. Berkovici, Abraham Berkovitsh",MVT,MVT,,,,,,,1925-1927,Bucharest and EE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlewi,Henryk,Henryk Berlewi,m,,,"Henrikh Berlewi, Henrik Berlewi, Henrik Berlevi",MVT,MVT,,,,,,,1925?,EE,Designer,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Academy of Fine Arts,Art school,Dutch,Antwerp,51.223224,4.406189,Academy of Fine Arts in Warsaw,Art school,Polish,Warsaw,52.239448,21.015034,École des Beaux-Arts,Art school,French,Paris,48.856601,2.33459,Novembergruppe,Member,German,Berlin,52.520007,13.404954,,,,,,,,,,,,,Azazel,Designer,Yiddish,Warsaw,52.229676,21.012229,,,,Ararat,Designer,Yiddish,Lodz,51.759248,19.455983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dovid Herman,Designer,Moyshe Broderzon,Designer,Henekh Kon,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bintus,Manya,Manya Bintus,f,,,,Stein,Stein,,,,,,,1930,Vienna,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birnboym,Dovid,Dovid Birnboym,m,,,,MVT,MVT,,,,,,,1926-1932,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,Dovid Herman,Mikhl Vaykhert,Alexander Zelwerowicz,Zygmunt Turkow,Władysław Godik,,,Yidishe dramatishe shul,Theater school,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azazel,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,VYKT,Actor,Yiddish,Warsaw ,52.229676,21.012229,Sambatyon,Actor,Yiddish,Vilna,54.687156,25.279651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yankev Reynglas,"Co-Founder, Performed with",Yoyel Bergman,"Co-Founder, Performed with",Dovid Herman,Performed with,Zygmunt Turkow,Performed with,Khayele Shiper,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birnboym,Roza,Roza Birnboym,f,,,"Rosa Birnboym, Roza Birnboym-Zshelaza, Rose Birnbaum, Rose Zhelazo, Rose Zheliazo","MVT, AA, Bronx, AmRev, AmRev2",MVT,AA,Bronx,AmRev,AmRev2,,,"1919-1921, 1922-1924, 1926-1927, 1928-1930, 1932-1933","EE, WE, US",Actor,A,Leyzer Zhelazo,Wife,Moyshe Feder,Wife,,,,,,,,,,,,,,,,,Dovid Herman,,,,,,,Hazomir,Amateur club,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,Unzer vinkl,Actor,Yiddish,Kharkov,49.993501,36.230383,,,,,,,,,,,,,Hazomir,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leyzer Zhelazo,Performed with,Misha Fishzon,Performed with,Nokhum Lipovski,Performed with,Zygmunt Turkow,Performed with,Ester-Rokhl Kaminska,Performed with,Betty Dalska,Performed with,Ida Kaminska,Performed with,Wolf Zilberberg,Performed with,Leyzer Zhelazo,Performed with,Dovid Herman,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biro,Fela,Fela Biro,f,Feinreich,,Fela Biro-Fajnrajch,AA,AA,,,,,,,1925-1926,US,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yiddish Art Theater,Actor,Yiddish,New York,40.730929,-73.986157,,,,,,,,,,,,,Artef,Actor,Yiddish,New York,40.754274,-73.984866,,,,Yiddish Art Theater,Actor,Yiddish,New York,40.730929,-73.986157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Granovsky,Performed with,Maurice Schwartz,Performed with,Rudolph Schildkraut,Performed with,Yankev Mestel,Performed with,Ester Neroslavska,Performed with,Maurice Schwartz,Performed with,Julius Adler,Performed with,Leah Naomi,Performed with,Helen Beverly,Performed with,Zvi Scooler,Performed with,Reuven Vendorf,Performed with,Avrom Taytlboym,Performed with,Jerome Robbins,Performed with,Leola Vendorf,Performed with,Molly Pickus,Performed with,Luba Kadison,Performed with,Bertha Gersten,Performed with,Jacob Ben-Ami,Performed with,Paul Baratoff,Performed with,S. Z. Schidlover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
