Last Name,First Name,Full Name,Gender,Real Last,Real First,Alternate Names?,Branch,Branch1,Branch2,Branch3,Branch4,Branch5,Branch6,Branch7,Approx Dates in VT,VT Locations,Type of VT Connection,Connection Type Code,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Studied With,Studied With,Studied With,Studied With,Studied With,Studied With,Studied With,Studied At,Type,Language,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Third Location,Third Latitude,Third Longitude,Fourth Location,Fourth Latitude,Fourth Longitude,Fifth Location,Fifth Latitude,Fifth Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role
Gibson,F.,F. Gibson,m,,,,Stein,Stein,,,,,,,193?-193?,Berlin,Set Designer,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glanzman,Asher,Asher Glanzman,m,,,"Osher Glantz, Oscar Glantzman","AA, Bronx, AmRev3",AA,Bronx,AmRev3,,,,,"1924, 1928, 1936","Chicago, New York",Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godim,, Godim,m,,,,O,O,,,,,,,1916,Vilna,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldberg,Avrom,Avrom Goldberg,m,,,,MVT,MVT,,,,,,,192?,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldberg,Yudl,Yudl Goldberg,m,,,,WBS,WBS,,,,,,,1926,Belgium,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Yiddish National Theater,Actor,Yiddish,London,51.51008,-0.1224371,,,,,,,,,,,,,New Yiddish Theater,Actor,Yiddish,London,51.51008,-0.122437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klara Meisels,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldfeld,Aaron,Aaron Goldfeld,m,,,Ahron Goldfeld,"AmRev, Bronx",AmRev,Bronx,,,,,,"1926-1927, 1928-1929",US,"Actor, Stage Manager","A, SM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldhirsh,Falie,Falie Goldhirsh,f,,,,MVT,MVT,,,,,,,1924-1926,"Romania, EE",Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azazel,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moyshe Potashinski,Performed with,Władysław Godik,performed with,Yankev Mansdorf,Performed with,Ola Lilith,Performed with,Nokhum Melnik,Performed with,Hersh Poznanski,Performed with,Dovid Herman,Performed with,Henekh Kon,Performed with,Władysław Weintraub,Performed with,Tea Artsishevska,Performed with,Miriam Lipska-Mansdorf,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldin,, Goldin,m,,,,O,O,,,,,,,1917,Vilna,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldnberg,Itzikl,Itzikl Goldnberg,m,,,"Itzikl Goldenberg, I. Goldenberg",MVT,MVT,,,,,,,1925,Romania,Director,Dir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goldfaden trupe,Actor,Yiddish,Jassy,47.156944,27.590278,Odessa,46.482526,30.723311,Kharkov,49.993501,36.230383,Moscow,55.755826,37.617301,St. Petersburg,59.934281,30.335099,Freie Jüdische Volksbühne,Manager,Yiddish,Vienna,48.189588,16.312573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zigmund Mogulesco,Performed with,Avrom Goldfaden,Performed with,Boris Thomashefsky,Performed with,Paul Baratoff,Manager,Egon Brecher,Manager,Yankev Mestel,Manager,Simkhe Natan,Manager,Naomi Natan,Manager,Lea Weintraub-Graf,Manager,Fraym Sorkin,Performed with,Miriam Gurevitz,Performed with,Bertha Kalich,Performed with,Moyshe Burstin,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldnberg,Ester,Ester Goldnberg,f,,,Esther Goldenberg,MVT,MVT,,,,,,,1926-1935,"EE, WE",Actor,A,Mordechai Mazo,Wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folks un yugnt teater,Actor,Yiddish,Lodz,51.759248,19.455983,,,,,,,,,,,,,Yiddish Art Theater,Actor,Yiddish,New York,40.730929,-73.986157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klara Segalovitch,Performed with,Mikhl Vaykhert,Performed with,Leon Schiller,Performed with,Avrom Morevsky,Performed with,Daniel Shapiro,Performed with,Mordechai Mazo,Performed with,Władysław Godik,Performed with,Shloyme Kon,Performed with,Max Wiskind,Performed with,Aaron Zeitlin,Performed with,Ida Kaminska,Performed with,Maurice Schwartz,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gotlib,Helena,Helena Gotlib,f,Shlagman,,Helene Gotlib,MVT,MVT,,,,,,,"1925, 1928-29","Romania, Warsaw",Actor,A,Isaac Samberg,Wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nay Azazel,Actor,Yiddish,Warsaw Ghetto,52.246595,20.995991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moyshe Lipman,Performed with,Ruth Turkow,Performed with,Diana Blumenfeld,Performed with,Yonas Turkow,Performed with,Yankev Kurlender,Performed with,Klara Segalovitch,Performed with,Henryk Szaro,Performed with,Ida Kaminska,Performed with,Isaac Samberg,Performed with,A.Y. Kaminski,Performed with,Mark Arnshteyn,Performed with,Boris Thomashefsky,Performed with,Rose Shoshana,Performed with,Zina Rapel,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,Joseph,Joseph Green,m,Grinberg,Yoysef,"Joseph Greenberg, Josef Grünberg","AA, Bronx",AA,Bronx,,,,,,"1921-1924, 1928","WE, US",Actor,A,,,,,,,,,,,,,,,,,,,,,Mendl Elkin,Richard Boleslavsky,,,,,,Unzer teater studio,Theater school,Yiddish,"Bronx, New York",40.837049,-73.86543,,,,,,,,,,,,,Unzer teater,Actor,Yiddish,"Bronx, New York",40.844782,-73.864827,,,,,,,,,,,,,Yiddish Art Theater,Actor,Yiddish,New York,40.730929,-73.986157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mendl Elkin,Performed with,Boris Aronson,Designer,Egon Brecher,Performed with,David Vardi,Performed with,Peretz Hirschbein,Performed with,Dovid Pinski,Performed with,H. Leivick,Performed with,Chaim Shniur,Performed with,Bela Belarina,Performed with,Molly Picon,Director,Leon Liebgold,Director,Simkhe Natan,Director,Jacob Kalich,Director,Miriam Kressyn,Director,Lucy German,Director,Yitzkhok Grudberg,Director,Misha German,Director,Bertha Gersten,Director,Yankev Mestel,Performed with,Henrik Galeen,Performed with,Ernst Deutsch,Performed with,Isaac Samberg,Director,Miriam Kressyn,Director,Wolf Barzel,Performed with,Ruth Turkow,Director,Adam Domb,Director,Maurice Schwartz,Performed with,Celia Adler,Performed with,Mordecai Gorelik,Performed with,Paul Baratoff,Performed with,Stella Adler,Performed with,Jacob Bergrin,Performed with,Rudolph Schildkraut,Performed with,Yankev Blayfer,Performed with,Alex Stein,Director,Avrom Taytlboym,Performed with,Helen Zelinskaya,Performed with,Boris Auerbach,Performed with,Louis Weisberg,Performed with,Alex Chertov,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grosbard,Hertz,Hertz Grosbard,m,,,Herz Grossbard,"MVT, AA",MVT,AA,,,,,,"1919-1920, 1920-1921","EE, WE",Actor,A,Frida Blumental,Husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breitman-Teffner Yiddish Theater Company,Actor,Yiddish,Johannesburg,-26.204103,28.047305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natan Breitman,Performed with,Paul Breitman,Performed with,Nokhum Melnik,Performed with,Devorah Rosenblum,Performed with,Erwin Piscator,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grudberg,Yitzkhok,Yitzkhok Grudberg,m,Turkow,,"Izak Grudberg, Yitzkhok Turkow-Grudberg, Yitskhok Ber",MVT,MVT,,,,,,,1930,Warsaw,Actor,A,Zygmunt Turkow,Brother,Yonas Turkow,Brother,Ruth Turkow,Uncle,Ida Kaminska,Brother-in-law,Diana Blumenfeld,Brother-in-law,Josef Kaminski,Brother-in-law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VNIT,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,VYKT,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,Dos Baveglekhe Dramatishe Teater,Actor,Yiddish,Traveling EE,-,-,Di Yunge Bine,Actor,Yiddish,Traveling EE,-,-,Azazel,Actor,Yiddish,Warsaw,52.229676,21.012229,Polish State Yiddish Theater,Actor,Yiddish,Warsaw,52.229676,21.012229,Yidishe bine,Director,Yiddish,Włocławek,52.648331,19.067736,,,,,,,,,,,,,,,,,,,,,,,,,Zygmunt Turkow,Performed with,Dina Halpern,Performed with,Henryk Szaro,Performed with,Yonas Turkow,Performed with,Joseph Green,Performed with,Lucy German,Performed with,Misha German,Performed with,Bertha Gersten,Performed with,Ida Kaminska,Performed with,"Sholem Asch Theater, Bat Yam",Director,Dovid Herman,Performed with,Henekh Kon,Performed with,Moyshe Broderzon,Performed with,Yankev Kurlender,Performed with,Daniel Shapiro,Performed with,Alex Stein,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grunberg,Jacob,Jacob Grunberg,m,,,,AA,AA,,,,,,,192?,WE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haber,Marek,Marek Haber,m,,,,MVT,MVT,,,,,,,1927-1928,Warsaw,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamburger,Dovid,Dovid Hamburger,m,,,"Dovid Gedalya Hamburger, David Hamburger",AA,AA,,,,,,,1921-1923,WE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julius Adler,Performed with,Shloyme Krause,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haneman,Maks,Maks Haneman,m,,,"Max Haneman, Max Hannemann, Max Hanneman",MVT,MVT,,,,,,,192?,EE,Designer,D,,,,,,,,,,,,,,,,,,,,,Leon Wyczółkowski,Teodor Axentowicz,,,,,,Kraków Academy of Fine Arts,Art school,Polish,Kraków,50.066259,19.941582,Academy of Fine Arts in Warsaw,Art school,Polish,Warsaw,52.239448,21.015034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helfer,, Helfer,f,,,,MVT,MVT,,,,,,,1925-1926,"Romania, EE",Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herman,Dovid,Dovid Herman,m,,,,"O, MVT, AA, AmRev3",O,MVT,AA,AmRev3,,,,"1917-1923, 1928-1930, 1936","EE, Germany, WE, US",Director,Dir,,,,,,,,,,,,,,,,,,,,,Gruberski,Grenkiel ,Wincenty Rapacki,,,,,Warsaw Academy of Drama,Theater school,Polish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,Yiddish Drama School,"Teacher, Director, Founder",Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,Hirschbein Troupe,Director,Yiddish,Odessa,46.482526,30.723311,Warsaw,52.229676,21.012229,VNIT,Director,Yiddish,Warsaw,52.229676,21.012229,Hazomir,"Teacher, Director",Yiddish,Warsaw,52.229676,21.012229,Artistishe vinkele,Director,Yiddish,Warsaw,52.229676,21.012229,Azazel,Founder,Yiddish,Warsaw,52.229676,21.012229,Yidishe dramatishe shul,"Teacher, Director",Yiddish,Warsaw,52.229676,21.012229,Goldfaden Fareyn,Director,Yiddish,Stanislavov,46.570001,32.150001,Naye yidishe teater,Director,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,Moyshe Broderzon,Director,Jenny Goldstein,Director,Jacob Rotbaum,Director,Władysław Weintraub,Director,Zygmunt Turkow,"Teacher, Director",Yonas Turkow,"Teacher, Director",Yankev Gertner,"Teacher, Director",Henrik Tarlo,"Teacher, Director",Bela Belarina,Director,Hersh Poznanski,Director,Roza Birnboym,"Teacher, Director",Dovid Birnboym,"Teacher, Director, Performed with",Zygmunt Turkow,Director,Yitzkhok Grudberg,Director,Baruch Lumet,"Teacher, Director, Director",Ola Lilith,Director,Yankev Mansdorf,"Director, Teacher, Director",Nokhum Melnik,"Director, Teacher, Director",Peretz Hirschbein,Director,Egon Brecher,"Co-Founder, Performed with",Henrik Tarlo,"Teacher, Director, Performed with",Moyshe Potashinski,"Teacher, Director, Director",Dina Koenig,Director,Yosef Kamen,Director,Dovid Likht,Director,Jacob Waislitz,Director,Yocheved Waislitz,Director,Zigmunt Bolk,Director,Peretz Hirschbein,Co-director,Mendl Elkin,Co-Director,A. Vayter,Co-Director,Moyshe Feder,"Teacher, Director, Director",Falie Goldhirsh,Director,Morits Norvid,"Teacher, Director",Miriam Shik,"Teacher, Director",Yankev Shidlo,"Teacher, Director",Zalmen Hirshfeld,"Teacher, Director",Tea Artsishevska,Director,Dovid Birnboym,"Teacher, Director",Zalmen Hirshfeld,"Teacher, Director",Basheva Kremer,"Teacher, Director",Yankev Kurlender,"Teacher, Director",Yankev Mansdorf,"Teacher, Director",Nokhum Melnik,"Teacher, Director",Moyshe Potashinski,"Teacher, Director",Ester Rapel,"Teacher, Director",Simkhe Vaynshtok,"Teacher, Director",Miriam Orleska,"Teacher, Director, Performed with",Ruth Taru,"Teacher, Director",Dovid Tselmayster,Director,Pepi Urich,Director,Simkhe Vaynshtok,Director,Reuven Vendorf,Performed with,Miriam Veyde,"Performed with, Teacher, Director",Mark Schweid,Director
Hershkovitsh,Itzik,Itzik Hershkovitsh,m,,Yitzkhok,Isaac Hertzkovitz,AmRev,AmRev,,,,,,,1926-1927,US,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moyshe Feder,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hirshfeld,Zalmen,Zalmen Hirshfeld,m,,,"Zalmen Leib Hirschfeld, L. Sarnov, Zelman Hirshfeld",MVT,MVT,,,,,,,1928-1932,"Warsaw, EE",Actor,A,Ester Rapel,Husband,Zina Rapel,Son-in-law,,,,,,,,,,,,,,,,,Mikhl Vaykhert,Dovid Herman,Barwinski,Alexander Zelwerowicz,Dovid Herman,Zygmunt Turkow,Władysław Godik,Yidishe dramatishe shul,Theater school,Yiddish,Warsaw,52.229676,21.012229,Lodz State Drama School,Theater school,Polish,Lodz,51.766372,19.449719,University of Warsaw,College/University,Polish,Warsaw,52.240346,21.018601,VYKT,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,Azazel,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,Di bande,Actor,Yiddish,Vilna,54.687156,25.279651,Excelsior Theater,Actor,Yiddish,Buenos Aires,-34.603723,-58.381593,Habimah,Actor,Hebrew,Tel Aviv,32.085301,34.781768,Zavit Theater,Actor,Hebrew,Tel Aviv,32.085301,34.781768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zygmunt Turkow,Performed with,Moyshe Lipman,Performed with,Ida Kaminska,Performed with,Adam Domb,Performed with,Yankev Mandlblit,Performed with,Avrom Morevsky,Performed with,Ester Rapel,Performed with,Nokhum Melnik,Performed with,Devora Rosenblum,Performed with,Nadia Kameni,Performed with,Yosef Kamen,Performed with,Shmuel Iris,Performed with,Zina Rapel,Performed with,Joseph Buloff,Performed with,Maurice Schwartz,Performed with,Jacob Ben-Ami,Performed with,Nadia Kareni,Performed with,Devorah Rosenblum,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hershfinkel,Baruch,Baruch Hershfinkel,m,,,Baruch Herschfinkel,AA,AA,,,,,,,1921,Berlin,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holtzer,Rokhl,Rokhl Holtzer,f,,,,MVT,MVT,,,,,,,1927-1928,Lviv,Actor,A,,,,,,,,,,,,,,,,,,,,,Anthony Piekarski,,,,,,,,,,,,,,,,,,,,,,,,,Di yidishe bande,Actor,Yiddish,Kalisz,51.767281,18.085346,Vilna,54.687156,25.279651,Paris,48.856614,2.352222,Buenos Aires,-34.603723,-58.381593,Sao Paolo,-23.550521,-46.633309,FAKT,Actor,Yiddish,Krakow,50.064651,19.944981,Lodz,51.759248,19.455983,Dovid Herman Theater,"Director, Actor",Yiddish,Melbourne,-37.814107,144.963281,Krokever Yidish Teater,Actor,Yiddish,Krakow,50.064651,19.944981,"National Theater, Warsaw",Actor,Polish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ida Kaminska,Performed with,Jacob Waislitz,Performed with,Shimon Dzigan,Performed with,Yisroel Shumacher,Performed with,Avrom Morevsky,Performed with,Dina Halpern,Performed with,Khavel Buzgan,Performed with,Ruth Turkow,Performed with,Klara Segalovitch,Performed with,Isaac Samberg,Performed with,Henekh Kon,Performed with,Gershon Lemberger,Performed with,Yankev Reynglas,Performed with,Yonas Turkow,Performed with,Mikhl Vaykhert,Performed with,Daniel Shapiro,Performed with,Rose Shoshana,Performed with,Pola Valter,Performed with,Yosef Shayn,Performed with,Mila Waislitz,Performed with,Yocheved Waislitz,Performed with,Shimon Dzigan,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horowitz,Miriam,Miriam Horowitz,f,,,M. Horwitz,Stein,Stein,,,,,,,193?,"Vienna, Germany",Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iks,A.,A. Iks,f,,,A. Ix,O,O,,,,,,,1916,Vilna,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
