Film,Alt Titles,Language,Date,Country,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,Misc
If a Man Answers,,English,1962,US,Yankev Blayfer,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandra Dee,Actor,Bobby Darin,Actor,,,,,,,,,,,,,
Ikh vil zayn a mame,I Want To Be A Mother,Yiddish,1937,US,Moyshe Feder,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leo Fuchs,Actor,,,,,,,,,,,,,,,
In di poylishe velder,,Yiddish,1929,Poland,Helena Gotlib,Actor,Klara Segalovitch,Actor,Yankev Kurlender,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yonas Turkow,Director,Diana Blumenfeld,Actor,Ruth Turkow,Actor,Moyshe Lipman,Actor,Rose Shoshana,Actor,,,,,,,
Inside Out,,English,1986,US,Yankev Blayfer,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elliot Gould,Actor,,,,,,,,,,,,,,,
Joseph in the Land of Egypt,,Yiddish,1932,US,Joseph Green,Actor,Wolf Barzel,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kol Nidre,,Yiddish,1939,US,Leon Liebgold,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lili Liliana,Actor,,,,,,,,,,,,,,,
Lamedvovnik,,Yiddish,1925,Poland,Helena Gotlib,Actor,Klara Segalovitch,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henryk Szaro,Director,Yonas Turkow,Actor,Moyshe Lipman,Actor,Rose Shoshana,Actor,,,,,,,,,
Les Miserables,,English,1935,US,Yankev Blayfer,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Boleslavsky,Director,,,,,,,,,,,,,,,
Let's Make Music,,English,1941,US,Joseph Buloff,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leslie Goodwins,Director,,,,,,,,,,,,,,,
Mamele,,Yiddish,1938,US/Poland,Joseph Green,Director,Adam Domb,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruth Turkow,Actor,Molly Picon,Actor,,,,,,,,,,,,,
Man in a Blue Vase,,English,1960,Australia,Rokhl Holtzer,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manasse,,Romanian/Silent,1925,Romania,Yosef Kamen,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jean Mihail,Director,,,,,,,,,,,,,,,
